label,num_vert,max_degree,max_indegree,max_values,nodes,method,kind,query_type,filename,target,observed,barren,interval_result,time
hs_n4_mID2_mD6_mV4_nV2-1,2,6,2,4,4,approxlp,sing,marg,./networks/hmodel/hmodel-sing_n4_mID2_mD6_mV4_nV2-1.uai,3,,0,0.47661183887412617 0.6147556334817609 0.3852443665182391 0.5233881611258738,437.0
hs_n4_mID2_mD6_mV4_nV2-1,2,6,2,4,4,approxlp,sing,cond,./networks/hmodel/hmodel-sing_n4_mID2_mD6_mV4_nV2-1.uai,0,3,0,,
hm_n4_mID2_mD6_mV4_nV2-1,2,6,2,4,4,approxlp,mult,marg,./networks/hmodel/hmodel-mult_n4_mID2_mD6_mV4_nV2-1.uai,2,,0,0.14280081709746253 0.524457784601085 0.1000932908925424 0.6449860691630565 0.12474694738307865 0.6831428247331138,1286.0
hm_n4_mID2_mD6_mV4_nV2-1,2,6,2,4,4,approxlp,mult,cond,./networks/hmodel/hmodel-mult_n4_mID2_mD6_mV4_nV2-1.uai,0,2,0,,
hs_n5_mID2_mD6_mV4_nV2-1,2,6,2,4,5,approxlp,sing,marg,./networks/hmodel/hmodel-sing_n5_mID2_mD6_mV4_nV2-1.uai,4,,0,0.13952568805044846 0.40904652506095185 0.23385603698477858 0.6419506943069645 0.12303984786896399 0.5277052760632504,988.0
hs_n5_mID2_mD6_mV4_nV2-1,2,6,2,4,5,approxlp,sing,cond,./networks/hmodel/hmodel-sing_n5_mID2_mD6_mV4_nV2-1.uai,0,4,0,,
hm_n5_mID2_mD6_mV4_nV2-1,2,6,2,4,5,approxlp,mult,marg,./networks/hmodel/hmodel-mult_n5_mID2_mD6_mV4_nV2-1.uai,1,,2,0.0771239927907724 0.4115415549163965 0.049833625399563215 0.36225597200986337 0.03209765961089037 0.3527710603016937 0.1979838131957844 0.6555962542500847,567.0
hm_n5_mID2_mD6_mV4_nV2-1,2,6,2,4,5,approxlp,mult,cond,./networks/hmodel/hmodel-mult_n5_mID2_mD6_mV4_nV2-1.uai,0,2 1,0,0.12498535114024707 0.9287391299431277 0.07126087005687232 0.8750146488597529,697.0
hs_n6_mID2_mD6_mV4_nV2-1,2,6,2,4,6,approxlp,sing,marg,./networks/hmodel/hmodel-sing_n6_mID2_mD6_mV4_nV2-1.uai,5,,0,0.06913835118172391 0.6014372433028572 0.09166412149082452 0.6654746677302669 0.07440035357922645 0.4446361536644379 0.03171514564372501 0.25466137072120254,917.0
hs_n6_mID2_mD6_mV4_nV2-1,2,6,2,4,6,approxlp,sing,cond,./networks/hmodel/hmodel-sing_n6_mID2_mD6_mV4_nV2-1.uai,0,5,0,,
hm_n6_mID2_mD6_mV4_nV2-1,2,6,2,4,6,approxlp,mult,marg,./networks/hmodel/hmodel-mult_n6_mID2_mD6_mV4_nV2-1.uai,1,,3,0.14623236083408797 0.6429734609206161 0.12016707255140523 0.701175227906121 0.10332476768233903 0.3959435266589333,431.0
hm_n6_mID2_mD6_mV4_nV2-1,2,6,2,4,6,approxlp,mult,cond,./networks/hmodel/hmodel-mult_n6_mID2_mD6_mV4_nV2-1.uai,2,4 1 0,0,,
